NAME	TILLAGE	FERTILIZATION	BENEFICIALS	TREATMENT
MP.Ext.C.1	Mouldplough	Extensive	control	MPExt
MP.Ext.C.2	Mouldplough	Extensive	control	MPExt
MP.Ext.C.3	Mouldplough	Extensive	control	MPExt
MP.Ext.C.4	Mouldplough	Extensive	control	MPExt
MP.Int.C.1	Mouldplough	Intensive	control	MPInt
MP.Int.C.2	Mouldplough	Intensive	control	MPInt
MP.Int.C.3	Mouldplough	Intensive	control	MPInt
MP.Int.C.4	Mouldplough	Intensive	control	MPInt
CT.Ext.C.1	cultivator	Extensive	control	CTExt
CT.Ext.C.2	cultivator	Extensive	control	CTExt
CT.Ext.C.3	cultivator	Extensive	control	CTExt
CT.Ext.C.4	cultivator	Extensive	control	CTExt
CT.Int.C.1	cultivator	Intensive	control	CTInt
CT.Int.C.2	cultivator	Intensive	control	CTInt
CT.Int.C.3	cultivator	Intensive	control	CTInt
CT.Int.C.4	cultivator	Intensive	control	CTInt
MP.Ext.I.1	Mouldplough	Extensive	Inoculated	MPExt
MP.Ext.I.2	Mouldplough	Extensive	Inoculated	MPExt
MP.Ext.I.3	Mouldplough	Extensive	Inoculated	MPExt
MP.Ext.I.4	Mouldplough	Extensive	Inoculated	MPExt
MP.Int.I.1	Mouldplough	Intensive	Inoculated	MPInt
MP.Int.I.2	Mouldplough	Intensive	Inoculated	MPInt
MP.Int.I.3	Mouldplough	Intensive	Inoculated	MPInt
MP.Int.I.4	Mouldplough	Intensive	Inoculated	MPInt
CT.Ext.I.1	cultivator	Extensive	Inoculated	CTExt
CT.Ext.I.2	cultivator	Extensive	Inoculated	CTExt
CT.Ext.I.3	cultivator	Extensive	Inoculated	CTExt
CT.Ext.I.4	cultivator	Extensive	Inoculated	CTExt
CT.Int.I.1	cultivator	Intensive	Inoculated	CTInt
CT.Int.I.2	cultivator	Intensive	Inoculated	CTInt
CT.Int.I.3	cultivator	Intensive	Inoculated	CTInt
CT.Int.I.4	cultivator	Intensive	Inoculated	CTInt
